time;average_wind_speed
Dec-09;4,453898
Jan-10;3,713001
Feb-10;3,580952
Mar-10;3,35059
Apr-10;2,833871
May-10;3,141976
Jun-10;2,778949
Jul-10;2,623709
Aug-10;2,747327
Sep-10;3,397626
Oct-10;3,234001
Nov-10;3,85625
Dec-10;4,543414
Jan-11;4,233602
Feb-11;4,016816
Mar-11;4,344959
Apr-11;2,843611
May-11;2,815188
Jun-11;2,928611
Jul-11;3,139785
Aug-11;4,265726
Sep-11;3,999583
Oct-11;4,116299
Nov-11;4,474444
Dec-11;4,066667
Jan-12;4,362366
Feb-12;3,28046
Mar-12;2,920833
Apr-12;2,875
May-12;2,680107
Jun-12;2,41875
Jul-12;2,977016
Aug-12;3,606874
Sep-12;4,070417
Oct-12;3,891935
Nov-12;3,972639
Dec-12;3,65336
Jan-13;3,780645
Feb-13;3,740476
Mar-13;3,356361
Apr-13;3,047222
May-13;2,451344
Jun-13;2,53654
Jul-13;2,772581
Aug-13;3,555108
Sep-13;3,500417
Oct-13;3,828629
Nov-13;4,383611
Dec-13;4,117204
Jan-14;3,286559
Feb-14;3,507143
Mar-14;3,169893
Apr-14;3,079167
May-14;2,175538
Jun-14;3,009722
Jul-14;3,071695
Aug-14;2,765188
Sep-14;3,846389
Oct-14;3,85793
Nov-14;3,788472
Dec-14;3,293952
Jan-15;3,091139
Feb-15;NA
Mar-15;NA
Apr-15;2,63263
May-15;2,629839
Jun-15;2,404445
Jul-15;2,492607
Aug-15;3,332258
Sep-15;2,958889
Oct-15;4,157527
Nov-15;3,895417
Dec-15;3,581317
Jan-16;3,62282
