data;temperature
Feb-10;33,33
Mar-10;33,64
Apr-10;32,78
May-10;33,30
Jun-10;32,92
Jul-10;34,20
Aug-10;35,98
Sep-10;37,77
Oct-10;37,62
Nov-10;36,53
Dec-10;34,08
Jan-11;32,23
Feb-11;31,79
Mar-11;32,09
Apr-11;32,20
May-11;31,72
Jun-11;32,62
Jul-11;33,04
Aug-11;34,90
Sep-11;36,91
Oct-11;35,99
Nov-11;33,80
Dec-11;35,27
Jan-12;33,43
Feb-12;32,30
Mar-12;32,51
Apr-12;32,96
May-12;33,52
Jun-12;34,11
Jul-12;35,48
Aug-12;36,60
Sep-12;38,06
Oct-12;38,94
Nov-12;37,57
Dec-12;35,90
Jan-13;33,02
Feb-13;33,94
Mar-13;33,65
Apr-13;32,60
May-13;32,48
Jun-13;32,85
Jul-13;33,92
Aug-13;36,46
Sep-13;37,79
Oct-13;37,91
Nov-13;35,66
Dec-13;35,10
Jan-14;32,72
Feb-14;32,27
Mar-14;32,09
Apr-14;32,45
May-14;32,45
Jun-14;33,11
Jul-14;34,29
Aug-14;36,12
Sep-14;37,26
Oct-14;37,83
Nov-14;36,77
Dec-14;35,66
Jan-15;34,38
Feb-15;32,47
Mar-15;32,52
Apr-15;NA
May-15;32,69
Jun-15;33,24
Jul-15;34,15
Aug-15;36,70
Sep-15;38,37
Oct-15;39,03
Nov-15;38,74
Dec-15;38,46
